annee,Num_Acc,num_veh
2005,200500000170,B02
2005,200500000471,A01
2005,200500000524,B02
2005,200500000815,A01
2005,200500000832,B02
2005,200500001849,A01
2005,200500001947,A01
2005,200500002131,A01
2005,200500002137,A01
2005,200500002170,A01
2005,200500002212,B01
2005,200500002334,A01
2005,200500002359,A01
2005,200500002370,B01
2005,200500002380,A01
2005,200500002387,A01
2005,200500002393,A01
2005,200500002400,A01
2005,200500002401,A01
2005,200500002405,B01
2005,200500002406,A01
2005,200500002409,A01
2005,200500002410,A01
2005,200500002411,A01
2005,200500002417,B01
2005,200500002429,D01
2005,200500002435,A01
2005,200500002447,B01
2005,200500002450,A01
2005,200500002451,A01
2005,200500002454,A01
2005,200500002478,C01
2005,200500002486,B01
2005,200500002491,A01
2005,200500002500,A01
2005,200500002508,A01
2005,200500002520,A01
2005,200500002539,A01
2005,200500002753,A01
2005,200500002838,A01
2005,200500002954,A01
2005,200500002988,A01
2005,200500003158,A01
2005,200500003168,B01
2005,200500003467,A01
2005,200500003556,A01
2005,200500003558,B01
2005,200500003568,A01
2005,200500003584,A01
2005,200500003586,B01
2005,200500003590,A01
2005,200500003636,A01
2005,200500003650,A01
2005,200500003663,A01
2005,200500003674,A01
2005,200500003737,A01
2005,200500003775,A01
2005,200500003818,A01
2005,200500003824,A01
2005,200500003904,A01
2005,200500003912,A01
2005,200500003953,A01
2005,200500004056,A01
2005,200500004062,A01
2005,200500004091,A01
2005,200500004114,A01
2005,200500004172,A01
2005,200500004175,A01
2005,200500004184,A01
2005,200500004245,B01
2005,200500004316,A01
2005,200500004334,A01
2005,200500004371,A01
2005,200500004382,A01
2005,200500004417,A01
2005,200500004471,A01
2005,200500004575,A01
2005,200500004588,A01
2005,200500004608,A01
2005,200500004693,A01
2005,200500004697,A01
2005,200500004718,A01
2005,200500004741,B01
2005,200500004777,A01
2005,200500004803,A01
2005,200500004844,A01
2005,200500004861,A01
2005,200500004900,A01
2005,200500004960,A01
2005,200500004977,A01
2005,200500005040,A01
2005,200500005100,A01
2005,200500005116,A01
2005,200500005176,A01
2005,200500005239,B01
2005,200500005378,A01
2005,200500005578,B01
2005,200500005615,E01
2005,200500005632,A01
2005,200500005668,A01
2005,200500005771,A01
2005,200500005803,A01
2005,200500005873,B01
2005,200500005900,A01
2005,200500005935,A01
2005,200500005953,A01
2005,200500005973,B01
2005,200500005991,A01
2005,200500006017,B01
2005,200500006072,A01
2005,200500006078,A01
2005,200500006081,B01
2005,200500006097,B01
2005,200500006175,A01
2005,200500006261,C01
2005,200500006270,B01
2005,200500006278,B01
2005,200500006289,A01
2005,200500006290,A01
2005,200500006305,B01
2005,200500006306,C01
2005,200500006317,C01
2005,200500006320,B01
2005,200500006339,B01
2005,200500006353,B01
2005,200500006367,A01
2005,200500006384,B01
2005,200500006392,A01
2005,200500006414,A01
2005,200500006445,B01
2005,200500006498,B01
2005,200500006534,B01
2005,200500006559,B01
2005,200500006634,C01
2005,200500006640,B01
2005,200500006643,B01
2005,200500006649,A01
2005,200500006673,B01
2005,200500006713,A01
2005,200500006760,A01
2005,200500006797,A01
2005,200500006886,A01
2005,200500006890,B01
2005,200500006949,A01
2005,200500006952,A01
2005,200500006953,C01
2005,200500006954,C01
2005,200500006968,A01
2005,200500006998,A01
2005,200500007031,B01
2005,200500007037,A01
2005,200500007046,B01
2005,200500007056,B01
2005,200500007058,A01
2005,200500007063,B01
2005,200500007083,B01
2005,200500007090,A01
2005,200500007091,B01
2005,200500007104,A01
2005,200500007113,A01
2005,200500007118,A01
2005,200500007123,B01
2005,200500007137,A01
2005,200500007138,A01
2005,200500007159,A01
2005,200500007189,A01
2005,200500007247,B01
2005,200500007413,A01
2005,200500007537,A01
2005,200500007717,B01
2005,200500007812,A01
2005,200500007817,B01
2005,200500007836,A01
2005,200500007894,B01
2005,200500007895,A01
2005,200500007955,A01
2005,200500007959,B01
2005,200500007972,B01
2005,200500007977,A01
2005,200500008037,A01
2005,200500008142,A01
2005,200500008160,A01
2005,200500008183,A01
2005,200500008275,A01
2005,200500008292,A01
2005,200500008307,A01
2005,200500008311,A01
2005,200500008334,A01
2005,200500008336,A01
2005,200500008345,A01
2005,200500008362,A01
2005,200500008363,B01
2005,200500008379,A01
2005,200500008450,A01
2005,200500008505,B01
2005,200500008529,A01
2005,200500008530,A01
2005,200500008581,B01
2005,200500008717,A01
2005,200500008888,A01
2005,200500008924,A01
2005,200500008929,A01
2005,200500008942,A01
2005,200500008979,A01
2005,200500008984,A01
2005,200500009041,A01
2005,200500009093,A01
2005,200500009104,A01
2005,200500009158,A01
2005,200500009301,A01
2005,200500009302,A01
2005,200500009396,A01
2005,200500009571,B01
2005,200500009587,A01
2005,200500009646,A01
2005,200500009653,A01
2005,200500009662,A01
2005,200500009695,A01
2005,200500009756,A01
2005,200500009764,A01
2005,200500009769,A01
2005,200500009777,A01
2005,200500009800,A01
2005,200500009807,B01
2005,200500009876,A01
2005,200500009882,A01
2005,200500009934,A01
2005,200500009995,D01
2005,200500010144,B01
2005,200500010154,B01
2005,200500010160,B01
2005,200500010196,B01
2005,200500010259,A01
2005,200500010313,B01
2005,200500010410,A01
2005,200500010546,B02
2005,200500010913,A01
2005,200500011040,A01
2005,200500011751,A01
2005,200500011842,B02
2005,200500012559,A01
2005,200500013491,A01
2005,200500014014,A01
2005,200500014026,A01
2005,200500014037,A01
2005,200500014052,A01
2005,200500014053,A01
2005,200500014107,A01
2005,200500014109,A01
2005,200500014116,A01
2005,200500014166,A01
2005,200500014201,A01
2005,200500014214,A01
2005,200500014231,A01
2005,200500014240,A01
2005,200500014246,B01
2005,200500014281,A01
2005,200500014304,B01
2005,200500014311,A01
2005,200500014317,A01
2005,200500014318,A01
2005,200500014326,A01
2005,200500014337,B01
2005,200500014338,A01
2005,200500014339,A01
2005,200500014395,B01
2005,200500014396,B01
2005,200500014398,A01
2005,200500014409,A01
2005,200500014420,A01
2005,200500014421,A01
2005,200500014422,A01
2005,200500014462,A01
2005,200500014481,A01
2005,200500014489,B01
2005,200500014490,B01
2005,200500014505,A01
2005,200500014531,A01
2005,200500014541,A01
2005,200500014713,B01
2005,200500014716,A01
2005,200500014847,B01
2005,200500014948,A01
2005,200500015183,A01
2005,200500015187,A01
2005,200500015196,B01
2005,200500015266,B01
2005,200500015270,B01
2005,200500015330,A01
2005,200500015334,A01
2005,200500015381,B01
2005,200500015382,A01
2005,200500015425,A01
2005,200500015428,A01
2005,200500015446,B01
2005,200500015466,A01
2005,200500015484,A01
2005,200500015522,A01
2005,200500015528,A01
2005,200500015608,B01
2005,200500015610,B01
2005,200500015713,A01
2005,200500015756,A01
2005,200500015771,A01
2005,200500015784,A01
2005,200500015790,A01
2005,200500015803,A01
2005,200500015822,A01
2005,200500015824,A01
2005,200500015830,A01
2005,200500015839,A01
2005,200500015909,A01
2005,200500015927,A01
2005,200500015939,A01
2005,200500016027,C01
2005,200500016043,A01
2005,200500016113,A01
2005,200500016258,A01
2005,200500016305,A01
2005,200500016330,A01
2005,200500016359,A01
2005,200500016361,A01
2005,200500016390,A01
2005,200500016407,A01
2005,200500016457,A01
2005,200500016507,A01
2005,200500016530,A01
2005,200500016553,A01
2005,200500016556,A01
2005,200500016567,A01
2005,200500016624,A01
2005,200500016682,A01
2005,200500016688,A01
2005,200500016689,A01
2005,200500016690,A01
2005,200500016717,A01
2005,200500016791,A01
2005,200500016800,A01
2005,200500016800,B01
2005,200500016808,A01
2005,200500016813,A01
2005,200500016819,A01
2005,200500016822,A01
2005,200500016823,A01
2005,200500016868,A01
2005,200500017070,B01
2005,200500017080,B01
2005,200500017231,A01
2005,200500017381,A01
2005,200500017461,A01
2005,200500017620,A01
2005,200500017629,A01
